File,Kind
2020.bat,Other
2020.src,Control
2020DB.src,Database
2020Start.bat,Other
2020StartCompiled.bat,Other
CCalDB.src,Database
CCalib.run,Control
CCalib.src,Model
CControl.src,Control
CData.src,Input Data
CDemand.src,Model
CFuture.src,Model
CInitial.run,Control
CInitial.src,Model
CInput.src,Database
CLoad.src,Model
Compile.bat,Other
CompileFile.bat,Other
CompileFile32.bat,Other
CopyCompilerFiles.bat,Other
CopyDTAs.bat,Other
COutput.src,Database
Create.bat,Other
CreateDTALog.run,Other
DBAList.run,Other
DirectAirCapture.src,Model
DTA.bat,Other
DTAList.run,Other
ECalDB.src,Database
ECapacityExpansion.src,Model
EContractDevelopment.src,Model
EControl.src,Control
ECosts.src,Model
EData.src,Input Data
Edispatch.src,Model
EDispatchCg.src,Model
EDispatchLP.src,Model
Eflows.src,Model
EFuelUsage.src,Model
EGCalDB.src,Database
EGData.src,Input Data
EGenerationSummary.src,Model
EGInput.src,Database
EGOutput.src,Database
EInput.src,Database
ElectricPrice.src,Model
ELoadCurve.src,Model
Engine.txt,Other
EOutput.src,Database
EPeakHydro.src,Model
Epollution.src,Model
ERetailPowerCosts.src,Model
ERetailPurchases.src,Model
ExecuteTextFiles.bat,Other
FinishedWIthBatchFile.run,Other
FinishedWithPolicy.run,Other
GameList.run,Other
GetDName.run,Other
GetScenarioName.run,Other
glpsol.exe,Other
gmADS.exe,Other
gmADS.pak,Other
ICalDB.src,Database
ICalib.run,Control
ICalib.src,Model
IControl.src,Control
IData.src,Input Data
IDemand.src,Model
IFuture.src,Model
IInitial.run,Control
IInitial.src,Model
IInput.src,Database
ILoad.src,Model
IOutput.src,Database
Lcalib.run,Other
MCalDB.src,Database
Mcalib.run,Other
MCalib.src,Model
Mcontrol.src,Control
MData.src,Input Data
Meconomy.src,Model
MEData.src,Input Data
MEInput.src,Database
MEOutput.src,Database
MEWaste.src,Model
Mfuture.src,Model
Minitial.src,Model
Minput.src,Database
Moutput.src,Database
Mpollution.src,Model
Mreductions.src,Model
Name.txt,Other
NameIt.run,Other
PrmFile.bat,Other
prmx.cmd,Other
promula.bat,other
RCalDB.src,Database
RCalib.run,Control
RCalib.src,Model
RControl.src,Control
RData.src,Input Data
RDemand.src,Model
RFuture.src,Model
RInitial.run,Control
RInitial.src,Model
RInput.src,Database
RLoad.src,Model
ROutput.src,Database
RunModel.bat,Other
SCalDB.src,Database
Scalib.run,Control
scalib.src,Model
scontrol.src,Control
sdata.src,Input Data
sed.exe,Other
SetLogSw.run,Other
Sfuture.src,Model
Sinitial.src,Model
Sinput.src,Database
SOutput.src,Database
spbiofuel.src,Model
spcoal.src,Model
spdata.src,Input Data
SPEthanol.src,Model
SpFuelSupplyCurve.src,Model
SPGas.src,Model
SpGTrans.src,Model
SpGTrLP.src,Model
SpHydrogen.src,Model
SpImportsExports.src,Model
SpInput.src,Database
SpOGProd.src,Model
SpOGProdCalib.src,Model
SpOProd.src,Model
SpOutput.src,Database
SpRef.src,Model
SpRefCalib.src,Model
SpRefinery.src,Model
SpRefLP.src,Model
StartPRM.bat,Other
SuPollution.src,Model
SuPollutionCFS.src,Model
SuPollutionEI.src,Model
SuPollutionMarket.src,Model
Supply.src,Model
TCalDB.src,Database
TCalib.run,Control
TCalib.src,Model
TControl.src,Control
TData.src,Input Data
TDemand.src,Model
TDemand2.src,Model
TFuture.src,Model
TInitial.run,Control
TInitial.src,Model
TInput.src,Database
TLoad.src,Model
TOutput.src,Database
UnZip.bat,Other
VBInput.src,Database
vcvars32.bat,Other
vcvars64.bat,Other
vData_ElectricUnits.src,Database
WZCLUTIL.exe,Other
WZUNZIP.exe,Other
WZZIP.exe,Other
Xeq.bat,Other
ZIP.BAT,Other
ZipDTAsLog.run,Other
ZipList.run,Other
ZIPMove.bat,Other
ZIPSRC.bat,Other
